132.038,[0.859, 0.307],[0.705, 0.361],[0.564, 0.284],69.564,[0.319, 0.396],[0.254, 0.393],[0.303, 0.278],65.99,[0.705, 0.361],[0.564, 0.284],[0.544, 0.531],39.169,[0.254, 0.393],[0.303, 0.278],[0.378, 0.538],115.889,[0.564, 0.284],[0.544, 0.531],[0.734, 0.643],121.702,[0.303, 0.278],[0.378, 0.538],[0.261, 0.667],141.829,[0.544, 0.531],[0.734, 0.643],[0.805, 0.825],159.163,[0.378, 0.538],[0.261, 0.667],[0.207, 0.805],
83.558,[0.603, 0.473],[0.544, 0.532],[0.489, 0.463],56.866,[0.366, 0.525],[0.297, 0.508],[0.357, 0.452],47.511,[0.544, 0.532],[0.489, 0.463],[0.466, 0.609],55.93,[0.297, 0.508],[0.357, 0.452],[0.383, 0.617],119.095,[0.489, 0.463],[0.466, 0.609],[0.558, 0.681],134.903,[0.357, 0.452],[0.383, 0.617],[0.318, 0.706],139.582,[0.466, 0.609],[0.558, 0.681],[0.578, 0.779],132.189,[0.383, 0.617],[0.318, 0.706],[0.337, 0.798],
95.169,[0.583, 0.433],[0.542, 0.456],[0.507, 0.405],76.893,[0.502, 0.482],[0.457, 0.493],[0.456, 0.402],39.655,[0.542, 0.456],[0.507, 0.405],[0.492, 0.57],0.061,[0.457, 0.493],[0.456, 0.402],[0.458, 0.568],145.448,[0.507, 0.405],[0.492, 0.57],[0.537, 0.65],170.219,[0.456, 0.402],[0.458, 0.568],[0.442, 0.668],162.139,[0.492, 0.57],[0.537, 0.65],[0.561, 0.768],174.149,[0.458, 0.568],[0.442, 0.668],[0.436, 0.774],
148.576,[0.779, 0.345],[0.617, 0.363],[0.476, 0.297],101.591,[0.407, 0.488],[0.28, 0.441],[0.303, 0.291],72.125,[0.617, 0.363],[0.476, 0.297],[0.444, 0.55],10.507,[0.28, 0.441],[0.303, 0.291],[0.311, 0.547],121.102,[0.476, 0.297],[0.444, 0.55],[0.625, 0.693],154.335,[0.303, 0.291],[0.311, 0.547],[0.23, 0.73],142.64,[0.444, 0.55],[0.625, 0.693],[0.672, 0.877],171.486,[0.311, 0.547],[0.23, 0.73],[0.18, 0.912],
131.451,[0.804, 0.33],[0.654, 0.38],[0.504, 0.293],84.978,[0.473, 0.38],[0.285, 0.462],[0.232, 0.304],72.092,[0.654, 0.38],[0.504, 0.293],[0.443, 0.575],9.048,[0.285, 0.462],[0.232, 0.304],[0.278, 0.579],107.666,[0.504, 0.293],[0.443, 0.575],[0.638, 0.687],144.508,[0.232, 0.304],[0.278, 0.579],[0.199, 0.741],151.511,[0.443, 0.575],[0.638, 0.687],[0.76, 0.885],158.089,[0.278, 0.579],[0.199, 0.741],[0.188, 0.895],
114.48,[0.786, 0.312],[0.676, 0.359],[0.573, 0.265],67.833,[0.447, 0.376],[0.301, 0.41],[0.323, 0.272],54.001,[0.676, 0.359],[0.573, 0.265],[0.542, 0.542],21.961,[0.301, 0.41],[0.323, 0.272],[0.386, 0.547],126.45,[0.573, 0.265],[0.542, 0.542],[0.693, 0.682],127.711,[0.323, 0.272],[0.386, 0.547],[0.253, 0.709],155.643,[0.542, 0.542],[0.693, 0.682],[0.775, 0.877],120.317,[0.386, 0.547],[0.253, 0.709],[0.307, 0.855],
104.669,[0.642, 0.348],[0.56, 0.38],[0.499, 0.296],92.665,[0.479, 0.443],[0.404, 0.44],[0.403, 0.287],42.955,[0.56, 0.38],[0.499, 0.296],[0.466, 0.566],0.584,[0.404, 0.44],[0.403, 0.287],[0.402, 0.561],138.745,[0.499, 0.296],[0.466, 0.566],[0.556, 0.698],171.695,[0.403, 0.287],[0.402, 0.561],[0.377, 0.728],159.244,[0.466, 0.566],[0.556, 0.698],[0.601, 0.885],175.859,[0.402, 0.561],[0.377, 0.728],[0.364, 0.898],
104.669,[0.642, 0.348],[0.56, 0.38],[0.499, 0.296],92.665,[0.479, 0.443],[0.404, 0.44],[0.403, 0.287],42.955,[0.56, 0.38],[0.499, 0.296],[0.466, 0.566],0.584,[0.404, 0.44],[0.403, 0.287],[0.402, 0.561],138.745,[0.499, 0.296],[0.466, 0.566],[0.556, 0.698],171.695,[0.403, 0.287],[0.402, 0.561],[0.377, 0.728],159.244,[0.466, 0.566],[0.556, 0.698],[0.601, 0.885],175.859,[0.402, 0.561],[0.377, 0.728],[0.364, 0.898],
104.669,[0.642, 0.348],[0.56, 0.38],[0.499, 0.296],92.665,[0.479, 0.443],[0.404, 0.44],[0.403, 0.287],42.955,[0.56, 0.38],[0.499, 0.296],[0.466, 0.566],0.584,[0.404, 0.44],[0.403, 0.287],[0.402, 0.561],138.745,[0.499, 0.296],[0.466, 0.566],[0.556, 0.698],171.695,[0.403, 0.287],[0.402, 0.561],[0.377, 0.728],159.244,[0.466, 0.566],[0.556, 0.698],[0.601, 0.885],175.859,[0.402, 0.561],[0.377, 0.728],[0.364, 0.898],
104.669,[0.642, 0.348],[0.56, 0.38],[0.499, 0.296],92.665,[0.479, 0.443],[0.404, 0.44],[0.403, 0.287],42.955,[0.56, 0.38],[0.499, 0.296],[0.466, 0.566],0.584,[0.404, 0.44],[0.403, 0.287],[0.402, 0.561],138.745,[0.499, 0.296],[0.466, 0.566],[0.556, 0.698],171.695,[0.403, 0.287],[0.402, 0.561],[0.377, 0.728],159.244,[0.466, 0.566],[0.556, 0.698],[0.601, 0.885],175.859,[0.402, 0.561],[0.377, 0.728],[0.364, 0.898],
104.669,[0.642, 0.348],[0.56, 0.38],[0.499, 0.296],92.665,[0.479, 0.443],[0.404, 0.44],[0.403, 0.287],42.955,[0.56, 0.38],[0.499, 0.296],[0.466, 0.566],0.584,[0.404, 0.44],[0.403, 0.287],[0.402, 0.561],138.745,[0.499, 0.296],[0.466, 0.566],[0.556, 0.698],171.695,[0.403, 0.287],[0.402, 0.561],[0.377, 0.728],159.244,[0.466, 0.566],[0.556, 0.698],[0.601, 0.885],175.859,[0.402, 0.561],[0.377, 0.728],[0.364, 0.898],
