00 -> x: 0.514, y: 0.107, z: -0.422, visibility: 1.00
01 -> x: 0.490, y: 0.085, z: -0.385, visibility: 1.00
02 -> x: 0.486, y: 0.085, z: -0.386, visibility: 1.00
03 -> x: 0.483, y: 0.084, z: -0.386, visibility: 1.00
04 -> x: 0.481, y: 0.084, z: -0.458, visibility: 1.00
05 -> x: 0.471, y: 0.083, z: -0.459, visibility: 1.00
06 -> x: 0.458, y: 0.082, z: -0.459, visibility: 1.00
07 -> x: 0.430, y: 0.092, z: -0.198, visibility: 1.00
08 -> x: 0.399, y: 0.089, z: -0.521, visibility: 1.00
09 -> x: 0.491, y: 0.133, z: -0.341, visibility: 1.00
10 -> x: 0.480, y: 0.132, z: -0.441, visibility: 1.00
11 -> x: 0.498, y: 0.232, z: -0.009, visibility: 1.00
12 -> x: 0.232, y: 0.221, z: -0.600, visibility: 1.00
13 -> x: 0.670, y: 0.324, z: -0.059, visibility: 0.71
14 -> x: 0.301, y: 0.383, z: -0.886, visibility: 0.96
15 -> x: 0.865, y: 0.289, z: -0.471, visibility: 0.80
16 -> x: 0.508, y: 0.350, z: -1.113, visibility: 0.95
17 -> x: 0.909, y: 0.265, z: -0.522, visibility: 0.78
18 -> x: 0.552, y: 0.335, z: -1.233, visibility: 0.93
19 -> x: 0.904, y: 0.247, z: -0.596, visibility: 0.80
20 -> x: 0.549, y: 0.310, z: -1.220, visibility: 0.93
21 -> x: 0.887, y: 0.257, z: -0.512, visibility: 0.78
22 -> x: 0.537, y: 0.320, z: -1.118, visibility: 0.87
23 -> x: 0.412, y: 0.531, z: 0.154, visibility: 1.00
24 -> x: 0.222, y: 0.544, z: -0.155, visibility: 1.00
25 -> x: 0.630, y: 0.656, z: -0.237, visibility: 0.90
26 -> x: 0.169, y: 0.724, z: -0.680, visibility: 0.94
27 -> x: 0.734, y: 0.867, z: 0.042, visibility: 0.84
28 -> x: 0.112, y: 0.891, z: -0.141, visibility: 0.76
29 -> x: 0.702, y: 0.908, z: 0.051, visibility: 0.71
30 -> x: 0.106, y: 0.915, z: -0.093, visibility: 0.41
31 -> x: 0.849, y: 0.911, z: -0.180, visibility: 0.82
32 -> x: 0.095, y: 0.951, z: -0.284, visibility: 0.66
